0.gsm		"zero"
100.gsm		"hundred"
10.gsm		"ten"
11.gsm		"eleven"
12.gsm		"twelve"
13.gsm		"thirteen"
14.gsm		"fourteen"
15.gsm		"fifteen"
16.gsm		"sixteen"
17.gsm		"seventeen"
18.gsm		"eighteen"
19.gsm		"nineteen"
1.gsm		"one"
20.gsm		"twenty"
2.gsm		"two"
30.gsm		"thirty"
3.gsm		"three"
40.gsm		"forty"
4.gsm		"four"
50.gsm		"fifty"
5.gsm		"five"
60.gsm		"sixty"
6.gsm		"six"
70.gsm		"seventy"
7.gsm		"seven"
80.gsm		"eighty"
8.gsm		"eight"
90.gsm		"ninety"
9.gsm		"nine"
currentwxrpt.gsm	"Current underground weather report"
degrees.gsm	"degrees"
degrees_with_dew_point_of.gsma 	"Degrees with a dew point of"
deg_with_dew_point_of.gsm 	"Degrees with a dew point of"
ENE.gsm		"east north east"
ESE.gsm		"east south east"
falling_at.gsm	"falling at"
hundred.gsm	"hundred"
inches.gsm	"inches"
in_of_mercury.gsm	"inches of mercury"
minus.gsm	"minus"
mph_from.gsm	"miles per hour from"
mph.gsm		"miles per hour"
NE.gsm		"north east"
NNE.gsm		"north north east"
NNW.gsm		"north north west"
NW.gsm		"north west"
percent.gsm	"percent"
point.gsm	"point"
prec_last_hr.gsm	"precipitation in the last hour was"
pressure_was.gsm "the pressure was"
relative_humidity.gsm "the relative humidity was"
rising_at.gsm	"rising at"
SE.gsm		"south east"
silence1.gsm	<silence for 1 sec>
silence2.gsm	<silence for 2 sec>
sounds.txt	(this file)
SSE.gsm		"south south east"
SSW.gsm		"south south west"
steady_at.gsm	"steady at"
SW.gsm		"South West"
temperature_is.gsm	"the temperature is"
temperature_was.gsm	"the temperature was"
temp_was.gsm		"the temperature was"
thousand.gsm		"thousand"
total_prec_today.gsm	"Total precipitation today was"
windchillat.gsm		"the wind chill was at"
windwasblowing.gsm	"the wind was blowing at a speed of"
wind_was_calm.gsm	"the wins was calm"
with_dew_point_of.gsm	"with the dew point of"
with_wind_gusts_up.gsm	"with wind gusts up to"
WNW.gsm		"west north west"
WSW.gsm		"west south west"
